iter	Passed	Remaining
0	268	92375
1	455	78100
2	637	72699
3	840	71680
4	1013	68914
5	1191	67292
6	1379	66594
7	1555	65532
8	1750	65353
9	1956	65532
10	2131	64728
11	2316	64293
12	2515	64241
13	2715	64202
14	2922	64302
15	3133	64439
16	3335	64354
17	3519	63943
18	3692	63363
19	3903	63438
20	4073	62853
21	4251	62425
22	4456	62394
23	4629	61924
24	4795	61386
25	4982	61126
26	5156	60729
27	5350	60576
28	5559	60575
29	5762	60503
30	5962	60398
31	6163	60282
32	6351	60050
33	6553	59946
34	6708	59420
35	6949	59647
36	7129	59350
37	7325	59182
38	7538	59147
39	7691	58651
40	7895	58543
41	8092	58384
42	8262	58026
43	8405	57498
44	8609	57393
45	8802	57214
46	8959	56806
47	9151	56627
48	9366	56583
49	9560	56406
50	9774	56348
51	9964	56147
52	10169	56025
53	10372	55895
54	10576	55769
55	10759	55528
56	10927	55211
57	11091	54881
58	11296	54757
59	11496	54610
60	11691	54434
61	11879	54222
62	12087	54104
63	12281	53922
64	12444	53606
65	12604	53282
66	12801	53115
67	12944	52728
68	13105	52422
69	13298	52245
70	13489	52059
71	13704	51963
72	13896	51778
73	14094	51617
74	14287	51433
75	14464	51195
76	14622	50893
77	14819	50729
78	15031	50613
79	15196	50339
80	15392	50167
81	15613	50077
82	15801	49880
83	16006	49735
84	16193	49533
85	16385	49345
86	16576	49158
87	16804	49078
88	17000	48900
89	17203	48741
90	17381	48515
91	17581	48350
92	17742	48077
93	17957	47950
94	18143	47746
95	18344	47580
96	18494	47285
97	18662	47036
98	18849	46838
99	19040	46649
100	19237	46475
101	19447	46330
102	19651	46171
103	19856	46013
104	20059	45849
105	20261	45685
106	20428	45440
107	20627	45266
108	20819	45077
109	21017	44900
110	21220	44735
111	21423	44567
112	21648	44445
113	21797	44167
114	21961	43922
115	22146	43719
116	22347	43549
117	22558	43397
118	22723	43155
119	22923	42980
120	23138	42834
121	23354	42688
122	23586	42570
123	23768	42361
124	23950	42152
125	24149	41974
126	24375	41841
127	24424	41407
128	24623	41230
129	24802	41020
130	25000	40841
131	25222	40699
132	25440	40551
133	25649	40389
134	25844	40201
135	26045	40025
136	26260	39869
137	26444	39666
138	26660	39511
139	26878	39357
140	27057	39147
141	27255	38963
142	27449	38774
143	27659	38607
144	27815	38365
145	28013	38182
146	28219	38010
147	28411	37818
148	28610	37634
149	28835	37486
150	29032	37300
151	29239	37126
152	29410	36907
153	29620	36737
154	29797	36526
155	29975	36315
156	30140	36092
157	30300	35862
158	30500	35680
159	30702	35499
160	30888	35301
161	31083	35113
162	31279	34925
163	31474	34737
164	31678	34558
165	31862	34357
166	31929	34032
167	32110	33830
168	32301	33639
169	32488	33443
170	32708	33282
171	32903	33094
172	33121	32930
173	33293	32719
174	33477	32520
175	33669	32330
176	33894	32171
177	34090	31983
178	34263	31774
179	34461	31589
180	34647	31393
181	34854	31216
182	35035	31015
183	35233	30829
184	35450	30659
185	35648	30473
186	35814	30260
187	36033	30091
188	36235	29908
189	36430	29719
190	36609	29517
191	36826	29346
192	36998	29138
193	37195	28951
194	37395	28765
195	37577	28566
196	37766	28372
197	37990	28204
198	38165	28000
199	38367	27816
200	38567	27630
201	38780	27453
202	39006	27285
203	39176	27077
204	39409	26913
205	39604	26723
206	39801	26534
207	40009	26352
208	40171	26140
209	40331	25927
210	40548	25751
211	40741	25559
212	40929	25364
213	41167	25200
214	41389	25026
215	41607	24848
216	41797	24655
217	42026	24483
218	42228	24295
219	42374	24076
220	42565	23882
221	42762	23692
222	42918	23479
223	43117	23290
224	43364	23127
225	43517	22914
226	43684	22708
227	43834	22494
228	44022	22299
229	44243	22121
230	44439	21931
231	44653	21749
232	44867	21567
233	45039	21364
234	45238	21175
235	45456	20994
236	45663	20808
237	45839	20608
238	46008	20405
239	46213	20218
240	46401	20023
241	46600	19834
242	46792	19641
243	46998	19454
244	47214	19271
245	47431	19088
246	47628	18897
247	47836	18710
248	48032	18518
249	48228	18326
250	48388	18121
251	48588	17931
252	48766	17733
253	48939	17533
254	49152	17347
255	49342	17154
256	49531	16960
257	49701	16759
258	49869	16559
259	50092	16376
260	50302	16189
261	50506	16000
262	50714	15812
263	50931	15626
264	51118	15432
265	51288	15232
266	51511	15048
267	51681	14848
268	51875	14656
269	52075	14465
270	52286	14277
271	52496	14089
272	52724	13905
273	52940	13718
274	53102	13516
275	53274	13318
276	53486	13130
277	53691	12939
278	53849	12738
279	54027	12542
280	54232	12351
281	54449	12164
282	54605	11963
283	54813	11773
284	55006	11580
285	55209	11389
286	55424	11200
287	55585	11001
288	55807	10813
289	55970	10615
290	56188	10426
291	56406	10238
292	56568	10039
293	56739	9842
294	56934	9649
295	57091	9450
296	57293	9259
297	57447	9060
298	57676	8873
299	57882	8682
300	58085	8490
301	58297	8300
302	58502	8109
303	58692	7915
304	58910	7725
305	59116	7534
306	59282	7337
307	59489	7146
308	59665	6951
309	59837	6755
310	60003	6559
311	60221	6369
312	60427	6177
313	60628	5985
314	60850	5795
315	61064	5604
316	61266	5411
317	61478	5219
318	61692	5028
319	61854	4832
320	62057	4639
321	62258	4447
322	62475	4255
323	62699	4063
324	62888	3870
325	63056	3675
326	63214	3479
327	63418	3286
328	63606	3093
329	63824	2901
330	64039	2708
331	64208	2514
332	64422	2321
333	64634	2128
334	64808	1934
335	65023	1741
336	65258	1549
337	65475	1356
338	65677	1162
339	65889	968
340	66097	775
341	66304	581
342	66472	387
343	66661	193
344	66831	0
